# mob_stats_149.csv — plan44 G-05. Snapshot of MobStats table (src/game/Entities.hpp)
# + vanilla provenance. Test: tests/test_mob_stats_full.cpp reads this file.
# speed unit: repo-local (blocks/tick-ish AI scale; vanilla ordering preserved, NOT vanilla m/s).
# slime/magma_cube HP/attack are size-variable via mobStats(k,size): 1/4/16 HP, slime atk=size, magma atk=size+2.
# ender_dragon xp 12000 = first kill (subsequent 500). piglin_brute xp 20 (vanilla).
name,hp,speed,attack,followRange,xp,dropItem,dropMin,dropMax,breedingItem,provenance
minecraft:pale_oak_chest_boat,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:bamboo_chest_raft,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:area_effect_cloud,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:armor_stand,20.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:arrow,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:block_display,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:breeze_wind_charge,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:chest_minecart,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:command_block_minecart,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:dragon_fireball,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:egg,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:ender_pearl,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:experience_bottle,10.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:experience_orb,10.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:eye_of_ender,10.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:falling_block,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:fireball,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:firework_rocket,10.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:fishing_bobber,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:furnace_minecart,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:glow_item_frame,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:hopper_minecart,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:interaction,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:item,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:item_display,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:item_frame,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:leash_knot,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:lightning_bolt,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:llama_spit,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:marker,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:ominous_item_spawner,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:painting,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:potion,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:shulker_bullet,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:small_fireball,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:snowball,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:spawner_minecart,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:spectral_arrow,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:text_display,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:tnt,10.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:tnt_minecart,6.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:trident,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:wind_charge,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
minecraft:wither_skull,1.,0.10,0.,0.0,0,,0,0,,na-nonliving
